,start time,end time,cumulative rainfall,rainfall duration,maximum 48-hour rainfall,rainfall in the previous 10 days,Wan San cumulative rainfall,flood peak,flood peak time,water level,rising flow
154,2019/5/17 17:00,2019/5/20 8:00,22,63,19.9,15,15,2993,2019/5/20 20:00,152.9,868.0414231
155,2019/5/22 1:00,2019/5/22 14:00,7,13,8.3,37,8,1921,2019/5/22 9:00,152.5,1402.883346
156,2019/5/25 2:00,2019/5/25 18:00,10,16,10.6,31,14,3096,2019/5/25 8:00,151,1249.858462
157,2019/6/5 6:00,2019/6/5 19:00,25,13,25.1,10,26,2783,2019/6/5 20:00,145.5,1464.708154
158,2019/6/8 5:00,2019/6/10 5:00,19,48,21,29,10,3890,2019/6/10 12:00,146.3,2144.240385
159,2019/6/11 7:00,2019/6/12 7:00,26,24,27.2,44,31,5022,2019/6/12 10:00,145.6,2138.294692
160,2019/6/15 2:00,2019/6/15 22:00,16,20,16.5,71,7,3739,2019/6/15 10:00,145.5,1349.993077
161,2019/6/16 21:00,2019/6/19 3:00,15,54,17.1,62,23,3909,2019/6/18 20:00,145.6,1275.362192
162,2019/6/20 12:00,2019/6/22 16:00,41,52,42.2,58,44,7276,2019/6/22 12:00,145.7,1770.088923
163,2019/6/28 1:00,2019/6/28 20:00,31,19,31,50,40,4468,2019/6/29 0:00,145.7,1683.091
164,2019/7/3 10:00,2019/7/4 17:00,11,31,12.7,33,7,3234,2019/7/3 22:00,145.7,2187.129731
165,2019/7/7 16:00,2019/7/8 17:00,13,25,15,46,12,3034,2019/7/8 10:00,145.7,1219.801462
166,2019/7/11 20:00,2019/7/13 2:00,9,30,11.9,27,15,3094,2019/7/12 10:00,145.4,1671.611385
167,2019/7/18 15:00,2019/7/20 3:00,17,36,18.4,12,18,1408,2019/7/20 8:00,148,4.374846154
168,2019/7/22 16:00,2019/7/24 20:00,32,52,31.7,22,33,5747,2019/7/23 11:00,151.3,957.8418077
169,2019/7/29 16:00,2019/7/31 20:00,33,52,33.2,45,31,2194,2019/8/1 9:00,150.3,1573.292615
170,2019/8/6 15:00,2019/8/7 20:00,24,29,25.7,42,18,4700,2019/8/6 20:00,146.1,0
171,2019/8/27 15:00,2019/8/29 7:00,33,40,34.2,4,30,3996,2019/8/28 10:00,146.4,1459.527923
172,2019/8/31 2:00,2019/8/31 15:00,6,13,6.8,37,6,1958,2019/8/31 12:00,145.7,1087.751577
173,2019/9/7 22:00,2019/9/8 15:00,12,17,12.6,11,10,1943,2019/9/8 19:00,146.5,367.5360769
174,2019/9/17 10:00,2019/9/18 7:00,8,21,9.1,19,10,4047,2019/9/17 21:00,159,0
175,2019/10/4 9:00,2019/10/6 7:00,35,46,36.9,1,51,3564,2019/10/5 18:00,164.2,309.2314231
176,2019/10/7 2:00,2019/10/8 10:00,21,32,21.8,36,26,5137,2019/10/7 20:00,165.5,1373.518577
177,2019/10/10 1:00,2019/10/10 15:00,6,14,6.7,57,10,2676,2019/10/10 20:00,168.1,1150.329423
178,2019/10/11 6:00,2019/10/11 20:00,9,14,10,64,12,2407,2019/10/12 4:00,168.7,982.1568846
179,2019/10/15 12:00,2019/10/16 5:00,10,17,10.7,47,12,1828,2019/10/16 6:00,169.1,444.1713462
180,2019/10/21 13:00,2019/10/22 15:00,36,26,36.5,19,44,4804,2019/10/22 10:00,171.2,534.1161154
181,2019/10/24 21:00,2019/10/25 8:00,8,11,8.4,47,10,2381,2019/10/25 6:00,173.2,640.3200385
182,2019/11/17 15:00,2019/11/18 6:00,9,15,9.1,1,7,2126,2019/11/18 18:00,174.3,483.4918846
183,2019/11/24 9:00,2019/11/25 4:00,16,19,16.3,9,13,2351,2019/11/24 18:00,173.9,339.9978846
184,2019/12/18 2:00,2019/12/18 13:00,5,11,6.1,0,4,1286,2019/12/18 18:00,174.2,431.0735385
185,2020/1/6 0:00,2020/1/7 2:00,17,26,19.1,3,24,2359,2020/1/6 18:00,173,308.8778077
186,2020/1/8 6:00,2020/1/8 19:00,7,13,7.6,20,11,2166,2020/1/8 18:00,172.6,644.3189231
187,2020/2/14 16:00,2020/2/15 15:00,9,23,10.2,4,9,1677,2020/2/15 20:00,167.1,252.8360385
188,2020/2/27 7:00,2020/2/28 8:00,10,25,10.6,3,16,3159,2020/2/28 6:00,167.5,413.1503077
189,2020/3/2 4:00,2020/3/3 6:00,7,26,7.9,13,7,2247,2020/3/2 20:00,167.1,329.6859615
190,2020/3/26 15:00,2020/3/27 19:00,29,28,29.5,3,24,3585,2020/3/27 18:00,164.3,385.2481538
191,2020/4/10 3:00,2020/4/11 9:00,13,30,14.8,0,18,1809,2020/4/11 6:00,163.6,630.48
192,2020/4/17 11:00,2020/4/18 19:00,25,32,25.1,14,30,3227,2020/4/18 20:00,160.1,299.0846154
193,2020/4/20 1:00,2020/4/20 11:00,10,10,10.2,39,11,2675,2020/4/20 20:00,159.4,1088.326
194,2020/5/9 1:00,2020/5/9 20:00,16,19,17.4,15,24,2773,2020/5/9 8:00,154.8,1250.146769
195,2020/5/13 6:00,2020/5/14 9:00,12,27,13.3,30,10,1837,2020/5/14 22:00,152.9,328.5283846
196,2020/5/20 3:00,2020/5/21 8:00,11,29,12.5,15,10,1590,2020/5/20 20:00,152,532.4943077
197,2020/5/23 20:00,2020/5/25 5:00,12,33,13.5,18,14,1482,2020/5/24 6:00,151.6,706.9023846
198,2020/6/2 5:00,2020/6/2 17:00,14,12,14,17,6,2938,2020/6/2 20:00,148.8,1463.142115
199,2020/6/10 21:00,2020/6/12 17:00,41,44,42.5,29,63,8656,2020/6/12 18:00,146,544.0407308
200,2020/6/13 13:00,2020/6/15 6:00,17,41,18.1,57,15,6615,2020/6/14 8:00,146.3,3590.711
201,2020/6/17 8:00,2020/6/17 22:00,24,14,24.1,74,28,6965,2020/6/18 2:00,146,2341.267654
202,2020/6/20 3:00,2020/6/21 7:00,27,28,27.2,83,32,7468,2020/6/21 2:00,145.9,2073.771346
203,2020/6/22 2:00,2020/6/22 15:00,16,13,16.6,84,12,6974,2020/6/22 10:00,146.1,4027.904385
204,2020/6/27 3:00,2020/6/28 5:00,45,26,46,69,40,7359,2020/6/28 10:00,146.4,2325.6425
