name,similarity,cumulative rainfall,flood peak,test_name,test_flood peak,hydrological similarity,temporal similarity,spatial similarity,fusion similarity
192,0.2328,25,3227,226,5160,0.2328,0.501847,0.252882,1063.308066419209
104,0.2349,33,5897,226,5160,0.2349,0.507957,0.249001,1074.173186596632
166,0.0869,9,3094,227,3470,0.0869,0.422136,0.253016,442.11200704046666
2,0.1221,10,2739,227,3470,0.1221,0.434791,0.29399,584.6285208252848
156,0.1227,10,3096,227,3470,0.1227,0.441006,0.257464,593.7418812749994
197,0.1234,12,1482,227,3470,0.1234,0.420179,0.250556,591.6455912587022
99,0.1376,10,2281,227,3470,0.1376,0.392001,0.277533,638.319910210415
89,0.1421,12,4126,227,3470,0.1421,0.477787,0.216108,689.2875030924982
164,0.1473,11,3234,227,3470,0.1473,0.475653,0.252743,705.1115402437508
165,0.1556,13,3034,227,3470,0.1556,0.44213,0.250637,729.9616843302309
127,0.1565,13,3302,227,3470,0.1565,0.44905,0.260999,734.2245557056118
195,0.1581,12,1837,227,3470,0.1581,0.433221,0.245604,738.3721575970512
159,0.1369,26,5022,228,4530,0.1369,0.406208,0.26479,641.1751912009232
52,0.1436,22,3147,228,4530,0.1436,0.457328,0.259917,683.7839221830953
75,0.1462,28,9565,228,4530,0.1462,0.452805,0.309224,686.5667492392287
176,0.1668,21,5137,228,4530,0.1668,0.451331,0.29416,772.6883994146312
112,0.1901,21,12921,228,4530,0.1901,0.431113,0.291211,862.9609013006241
37,0.1994,25,7035,228,4530,0.1994,0.407456,0.252054,899.6690907679279
143,0.2053,25,4492,228,4530,0.2053,0.461745,0.330526,928.7277605717653
132,0.2054,26,7241,228,4530,0.2054,0.417193,0.267742,924.9407558310052
157,0.2155,25,2783,228,4530,0.2155,0.454835,0.306626,971.8240011342118
201,0.2363,24,6965,228,4530,0.2363,0.433006,0.302344,1051.5617894693912
53,0.0251,5,2793,229,2480,0.0251,0.419763,0.228187,191.20383599574447
78,0.0642,6,1354,229,2480,0.0642,0.430141,0.20459,357.7271233153035
134,0.1045,5,2235,229,2480,0.1045,0.402809,0.247825,509.5501319230392
22,0.1046,5,1381,229,2480,0.1046,0.462316,0.222283,530.2214665024707
65,0.1059,6,2200,229,2480,0.1059,0.451189,0.238837,530.1890485935193
172,0.1147,6,1958,229,2480,0.1147,0.428142,0.234135,560.4029633775566
139,0.1191,5,1020,229,2480,0.1191,0.482716,0.237219,593.4864470776146
76,0.1217,5,647,229,2480,0.1217,0.417554,0.234241,586.1132083873698
24,0.1334,5,2031,229,2480,0.1334,0.435173,0.248619,637.1776819133345
63,0.1352,8,1834,229,2480,0.1352,0.471059,0.273323,651.4089614095035
86,0.0469,7,1911,230,1580,0.0469,0.458079,0.258014,287.49561582338185
87,0.051,7,2392,230,1580,0.051,0.43761,0.239937,300.94682395006396
55,0.0609,7,1629,230,1580,0.0609,0.440448,0.278025,337.2671120373659
23,0.0654,6,1637,230,1580,0.0654,0.483032,0.245878,372.0872732726116
